N° del Establecimiento,Nombre del Establecimiento,Direccion,Mesa,Total de votantes,Cantidad de votantes,Hora,GOB-Votos afirmativos,GOB-Votos en blanco,SEN-Votos afirmativos,SEN-Votos en blanco,DIP-Votos afirmativos,DIP-Votos en blanco,INT-Votos afirmativos,INT-Votos en blanco,CNJ-Votos afirmativos,CNJ-Votos en blanco,Votos nulos
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3042,348,96,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3043,348,90,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3044,348,91,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3045,348,102,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3046,348,97,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3047,348,97,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3048,348,100,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3049,348,95,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3050,348,90,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3051,348,84,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3052,348,96,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3053,348,103,13:00,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3040,348,160,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3041,348,150,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3042,348,165,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3043,348,155,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3044,348,160,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3045,348,170,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3046,348,159,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3047,348,167,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3048,348,150,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3049,348,170,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3050,348,175,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3051,348,164,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3052,348,170,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3053,348,152,15:30,,,,,,,,,,,
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3040,348,217,19:00,200,17,192,25,193,24,192,25,189,28,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3041,348,188,19:00,172,16,164,24,162,26,164,24,164,24,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3042,348,224,19:00,205,19,200,24,198,26,201,23,192,32,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3043,348,194,19:00,180,14,180,14,180,14,183,11,181,13,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3044,348,207,19:00,192,15,192,15,191,16,190,17,186,21,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3045,348,196,19:00,177,19,175,21,175,21,176,20,170,26,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3046,348,196,19:00,179,17,174,22,172,24,178,18,169,27,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3047,348,208,19:00,187,21,184,24,185,23,187,21,181,27,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3048,348,197,19:00,179,18,173,24,175,22,176,21,176,21,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3049,348,212,19:00,181,31,174,38,175,37,181,31,177,35,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3050,348,208,19:00,196,12,192,16,193,15,194,14,189,19,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3051,348,216,19:00,208,8,200,16,196,20,200,16,199,17,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3052,348,221,19:00,197,24,194,27,194,27,198,23,195,26,0
4586,Lidia Rosa Montellano De Sidorenko,Arenales 399,3053,348,208,19:00,192,16,195,13,193,15,196,12,194,14,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2871,348,27,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2872,348,25,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2873,348,31,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2874,348,28,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2875,348,35,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2876,348,31,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2877,348,29,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2878,348,30,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2879,348,30,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2880,348,28,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2881,348,32,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2882,348,30,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2883,348,26,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2884,348,30,10:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2871,348,105,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2872,348,110,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2873,348,104,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2874,348,106,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2875,348,106,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2876,348,102,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2877,348,95,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2878,348,93,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2879,348,105,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2880,348,110,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2881,348,112,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2882,348,104,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2883,348,105,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2884,348,98,13:00,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2871,348,156,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2872,348,160,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2873,348,160,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2874,348,159,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2875,348,171,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2876,348,158,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2877,348,160,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2878,348,167,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2879,348,160,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2880,348,160,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2881,348,163,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2882,348,165,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2883,348,168,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2884,348,162,15:30,,,,,,,,,,,
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2871,348,216,19:00,201,15,193,23,191,25,195,21,192,24,0
